,,
AlbertGaming,4200,"9:17 12/5 "
AlbertGaming,1700,"9:22 12/5 "
AlbertGaming,1200,"9:23 12/5 "
AlbertGaming,3250,"9:25 12/5 "
AlbertGaming,0,"9:26 12/5 "
AlbertGaming,4150,"10:31 12/5 "
AlbertGaming,900,"10:32 12/5 "
AlbertGaming,50,"10:52 12/5 "
AlbertGaming,0,"10:54 12/5 "
AlbertGaming,1550,"10:55 12/5 "
AlbertGaming,650,"10:57 12/5 "
AlbertGaming,150,"10:58 12/5 "
AlbertGaming,1100,"10:59 12/5 "
AlbertGaming,2650,"11:32 12/5 "
AlbertGaming,2500,"11:35 12/5 "
AlbertGaming,1100,"11:36 12/5 "
AlbertGaming,2800,"11:37 12/5 "
AlbertGaming,0,"11:40 12/5 "
AlbertGaming,500,"11:46 12/5 "
AlbertGaming,1250,"11:47 12/5 "
AlbertGaming,2300,"11:57 12/5 "
AlbertGaming,850,"12:24 12/5 "
AlbertGaming,100,"12:40 12/5 "
AlbertGaming,500,"12:42 12/5 "
AlbertGaming,400,"12:43 12/5 "
AlbertGaming,250,"12:44 12/5 "
AlbertGaming,350,"12:44 12/5 "
AlbertGaming,250,"12:45 12/5 "
AlbertGaming,0,"12:45 12/5 "
AlbertGaming,300,"12:45 12/5 "
AlbertGaming,900,"12:46 12/5 "
AlbertGaming,6050,"12:49 12/5 "
AlbertGaming,1200,"12:50 12/5 "
AlbertGaming,2700,"12:52 12/5 "
